uid,Gender,Income,Goal_health,Goal_incex,Goal_indliving,Goal_self,Goal_food,Goal_sports,Goal_memory,Goal_sickness,Goal_religion,Goal_travel,Goal_polit,Goal_culture,Goal_hobby,Goal_commun,Goal_economy,Goal_work,Goal_familiy,Goal_relation,Goal_others,Health,Functioning,QoL,Happiness,Mother_tongue,Pet,Exercise,Hobby,Grandchildren,Education
91,1,1,6,5,6,1,2,4,6,1,1,4,1,4,1,5,5,0,6,6,4,4,4,4,4,2,0,1,0,1,3
92,1,1,6,5,6,6,5,5,6,6,0,3,4,5,1,2,3,2,6,4,4,4,4,4,5,1,0,1,1,1,3
93,2, ,6,5,6,5,5,0,6,6,0,4,4,5,6,0,5,0,2,6,5, , , , , , , , , , 
95,1,1,6,6,6,3,1,6,6,4,1,6,1,3,3,2,6,4,6,6,6,3,3,4,5,1,0,1,0,0,2
96,2,1,6,5,6, ,5,5,6,6,4,4,6,5,4,3,6,0,5,5,5, , , , , , , , , , 
99,2,1,6,6,6,4,6,6,6,2,1,2,5,4,6,3,6,1,6,5,5,4,5,3,3,1,0,1,1,1,1
100,2,1,5,4,6,4,4,3,4,5,4,2,1,2,1,4,5,1,3,4,4,3,3,3,3,2,0,1,1,0,1
101,2,1,5,5,5,3,2,4,3,2,3,2,3,4,4,2,3,0,2,4,3,4,5,5,5,1,1,1,1,0,3
103,1,2,6,6,6,4,5,6,6,5,3,3,3,4,5,3,6,2,4,5,4,3,3,4,4,1,0,1,1,1,2
104,2,2,6,6,6,3,6,5,3,3,0,6,4,3,4,0,6,6,6,6,6,4,4,3,3,1,1,1,0,0,1
105,1,1,5,5,4,3,4,5,5,4,2,5,4,3,5,2,3,1,1,3,3,3,3,4,4,1,0,1,0,0,1
106,2,1,6,6,6,0,0,2,6,1,0,0,4,4,3,4,6,0,6,0,6,4,3,3,1,1,0,1,0,1,3
109,1,2,2,2,4,1,4,1,4, ,0,3,1,2,4,1,4,1,4,2,4,3,3,1,3,1,1,0,0,0,2
